11:24:25 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.2.Final
11:24:25 [main] INFO  com.er.Application - Starting Application using Java 1.8.0_321 on Ryuusei with PID 13492 (F:\IDEA-WSP\MaSteelTools\target\classes started by Ryuusei in F:\IDEA-WSP\MaSteelTools)
11:24:25 [main] INFO  com.er.Application - No active profile set, falling back to 1 default profile: "default"
11:24:26 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
11:24:26 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
11:24:26 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
11:24:26 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
11:24:27 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
11:24:27 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1506 ms
11:24:27 [main] INFO  com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure - Init DruidDataSource
11:24:27 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
11:24:28 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
11:24:28 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
11:24:28 [main] INFO  com.er.Application - Started Application in 3.468 seconds (JVM running for 4.874)
